Date,AAPL,AMZN,BA,BAC,CAT,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NVDA,ORCL,PEP,PFE,PG,T,UNH,VZ,WFC,WMT,XOM
2006-10-12,2.2509987354278564,1.6775000095367432,60.197933197021484,35.911277770996094,42.129451751708984,15.676502227783203,29.6107177734375,24.90161895751953,108.98765563964844,10.5462064743042,131.11021423339844,22.761398315429688,,12.784523963928223,36.36220169067383,29.168071746826172,12.013861656188965,23.895877838134766,35.18701934814453,20.382347106933594,19.76854705810547,0.4951539933681488,15.077960014343262,34.79276657104492,10.958539009094238,35.41138458251953,6.369355201721191,37.85023498535156,12.00299072265625,21.174869537353516,10.791224479675293,34.105621337890625
2006-10-13,2.2438199520111084,1.6660000085830688,59.29826736450195,35.99729537963867,42.02602767944336,15.727788925170898,29.693946838378906,24.750463485717773,108.2655029296875,10.54275131225586,132.8004608154297,22.16083526611328,,12.849968910217285,36.21638107299805,29.107622146606445,12.005683898925781,23.827980041503906,35.17304611206055,20.59208106994629,19.873626708984375,0.5148199796676636,15.141469955444336,34.571327209472656,10.934761047363281,35.252525329589844,6.369355201721191,37.186607360839844,12.022459983825684,21.192373275756836,10.822490692138672,34.48373794555664
2006-10-16,2.2551865577697754,1.6299999952316284,59.49257278442383,35.54725646972656,42.543155670166016,15.766261100769043,30.087106704711914,24.678861618041992,107.00167846679688,10.405817031860352,133.7900390625,21.830522537231445,,12.855917930603027,36.41264724731445,28.84775161743164,12.068411827087402,23.833621978759766,35.3363037109375,20.85901641845703,19.929672241210938,0.5139054656028748,15.077960014343262,34.69863510131836,10.962505340576172,35.207130432128906,6.253720760345459,36.263614654541016,12.019216537475586,21.116527557373047,10.791224479675293,35.20466613769531
2006-10-17,2.2219862937927246,1.6234999895095825,59.22629165649414,35.52739715576172,42.524898529052734,15.69572925567627,30.031599044799805,24.74250602722168,107.00167846679688,10.378430366516113,132.23703002929688,21.476194381713867,,12.43353271484375,37.05757141113281,29.0048770904541,11.942950248718262,23.539390563964844,35.35963439941406,20.9543514251709,19.92266082763672,0.49423927068710327,14.792115211486816,34.52703857421875,10.986284255981445,35.32060623168945,6.2669878005981445,35.64574432373047,11.873188972473145,21.279861450195312,10.782289505004883,34.9929084777832
2006-10-18,2.2291648387908936,1.6154999732971191,59.55017852783203,35.613433837890625,42.02602767944336,15.503379821777344,29.87897491455078,25.12438201904297,107.00167846679688,10.34561538696289,132.16476440429688,21.55426025390625,,12.558464050292969,38.218441009521484,28.53346061706543,11.989315032958984,23.465835571289062,35.233673095703125,21.20221710205078,19.978700637817383,0.48112913966178894,14.879453659057617,34.98097610473633,11.13689136505127,35.6912841796875,6.244240760803223,36.6144905090332,11.873188972473145,21.472368240356445,10.797924041748047,34.87192916870117
2006-10-19,2.3625617027282715,1.6269999742507935,59.312660217285156,35.24941635131836,42.17267990112305,15.49056339263916,30.360002517700195,25.13233757019043,106.15914916992188,10.51215934753418,130.30479431152344,21.5662784576416,,12.510870933532715,38.15674591064453,28.327964782714844,12.24841022491455,23.069738388061523,35.63951873779297,21.206985473632812,19.817596435546875,0.4902760088443756,14.982670783996582,34.776153564453125,10.970428466796875,35.63993835449219,6.397789478302002,38.63592529296875,12.074380874633789,21.431537628173828,10.829187393188477,35.154266357421875
2006-10-20,2.3912744522094727,1.628499984741211,58.830448150634766,35.48768997192383,36.05023956298828,15.740609169006348,30.193483352661133,25.020954132080078,106.73088836669922,11.341414451599121,130.55810546875,21.614330291748047,,12.68934440612793,38.481998443603516,28.479055404663086,12.750236511230469,23.465835571289062,36.60515213012695,21.755159378051758,19.91565704345703,0.4846351444721222,15.070013999938965,34.77061080932617,10.970428466796875,35.74258804321289,6.528589248657227,38.67405319213867,12.26583194732666,21.367361068725586,11.025720596313477,35.063507080078125
2006-10-23,2.436439275741577,1.6440000534057617,59.593360900878906,35.514163970947266,36.91789627075195,15.663679122924805,30.360002517700195,24.88570785522461,106.91141510009766,11.862260818481445,133.67001342773438,21.76447105407715,,12.760726928710938,38.751182556152344,28.64223861694336,12.894784927368164,23.844951629638672,37.360862731933594,21.78374671936035,19.929672241210938,0.48143380880355835,15.204999923706055,34.97544479370117,10.990246772766113,36.08472442626953,6.579770088195801,38.6282958984375,12.33721923828125,21.390701293945312,11.452272415161133,35.25004196166992
2006-10-24,2.4241762161254883,1.68149995803833,60.16191101074219,35.3619499206543,37.22950744628906,15.605964660644531,30.938138961791992,24.965269088745117,106.5804443359375,11.677953720092773,135.94264221191406,21.920608520507812,,12.861861228942871,38.554901123046875,28.491147994995117,12.826605796813965,23.907196044921875,37.26755905151367,21.893386840820312,19.81058692932129,0.49545979499816895,14.998558044433594,34.986507415771484,10.80396842956543,35.85663986206055,6.583562850952148,38.01805877685547,12.330729484558105,21.262378692626953,11.456743240356445,35.23491668701172
2006-10-25,2.4430179595947266,1.8839999437332153,58.197086334228516,35.73918914794922,37.82831954956055,15.5739164352417,31.257291793823242,24.822059631347656,107.15217590332031,12.005857467651367,136.49986267089844,21.980661392211914,,12.92134952545166,38.599769592285156,28.569725036621094,12.870244026184082,23.765722274780273,37.06696319580078,21.960121154785156,19.831592559814453,0.5000330209732056,14.784177780151367,35.230098724365234,10.871349334716797,35.99919509887695,6.507736682891846,37.09507751464844,12.428074836730957,21.227371215820312,11.356245040893555,35.799564361572266
