model,ticker,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
mom20,JPM,3020,-0.021545090507993747,,,0.49567243675099865,0.4778097003923027,0.5135462273932562,0.6483026454215018,0.5096537949400799,0.12535178739415975,0.5264900662251656,-733.0225937460409
mom20,MA,2861,-0.027777243268301673,,,0.48703573931324456,0.46872744147096407,0.5053788910843462,0.17178481094964024,0.5402943237561317,1.2346587259675462e-08,0.6113247116392869,-964.5062515972345
mom20,PFE,3020,-0.02153704162983974,,,0.5045439246045103,0.486571028892815,0.5225050846051272,0.6333666366148665,0.49949511948838776,0.5821230109834414,0.4837748344370861,-957.6833744707479
mom20,RRC,3020,-0.036313343043760896,,,0.4875041652782406,0.46964786787136126,0.5053924137860812,0.17674195479337643,0.4948350549816728,0.43247016474451777,0.46258278145695364,-951.2267020800454
mom20,SBUX,3020,-0.025919660071141257,,,0.49983327775925307,0.4819496895958574,0.5177172925053629,1.0,0.5021673891297099,0.7982597320774663,0.5135761589403973,-1048.3137845213469
mom20,SHLD,3020,0.027130841861931643,,,0.522651565622918,0.5047660691290893,0.5404791626888482,0.013728980792660588,0.480346435709527,3.768896748916061e-06,0.4370860927152318,-1659.4910220949737
mom20,T,3020,0.0003402068731642701,,,0.5109097012420275,0.49295625914393804,0.5288350421440686,0.24095691732723545,0.5263511245384357,0.09146043578662746,0.476158940397351,-976.9296805967778
mom20,UAA,2989,-0.016011929185377343,,,0.5095862764883956,0.49161547071466566,0.5275323401732231,0.3043973130761147,0.5142953245879582,0.6075028267563606,0.5015055202408832,-1084.234277013245
mom20,WMT,3020,-0.01894473751030224,,,0.4855144855144855,0.46766858152657803,0.5033974034591292,0.11655075246765913,0.5254745254745254,1.2472529249971267e-05,0.4652317880794702,-958.6257744685715
mom20,XOM,3020,-0.03453474862178276,,,0.49550748752079865,0.477647981388053,0.5133784654677735,0.6352948334623688,0.5104825291181364,0.10059701130457471,0.46192052980132453,-742.066517214257
ridge,AAPL,3020,-0.009642923836780462,,,0.5142667551426675,0.49641654645874733,0.5320806417303212,0.1215423936091094,0.5248838752488387,0.24319719270009355,0.8887417218543047,0.0006816330617115396
ridge,AMD,3020,-0.011728674552225489,,,0.5042764283270612,0.4861569722324432,0.5223846584454862,0.6571135978776889,0.49264454327745466,0.20850195952621609,0.8456953642384106,-0.002005174809374788
ridge,AMZN,3020,0.011705217290847286,,,0.5086264100862641,0.49077877892605487,0.5264520790487308,0.3529099415153236,0.5116124751161247,0.7429889572274622,0.876158940397351,0.0008574598996644589
ridge,BABA,767,0.038188730544045875,,,0.5052356020942408,0.46984498568643845,0.5405738298609347,0.8000941878893293,0.5052356020942408,1.0,0.9295958279009127,0.0011923219257596873
ridge,BAC,3020,0.03055738781865371,,,0.5067430883344571,0.48875311148167977,0.5247156203186963,0.4739302051974594,0.5030343897505057,0.6997966822555278,0.8748344370860928,0.0012158393802729206
ridge,BBY,3020,0.007763425568950907,,,0.5141808475141808,0.4962801198755371,0.53204526724253,0.12491939518931741,0.5138471805138471,0.985421023480999,0.8798013245033113,-0.0008921760941891232
ridge,FB,1354,0.08442101186799318,,,0.5360059391239792,0.5093086600969469,0.5624984266851006,0.008879889845856694,0.5374907201187825,0.9130013422831533,0.9202363367799113,0.005507460110241724
ridge,GE,3020,0.011566127398519662,,,0.5075681130171544,0.48959866941037605,0.525518023395852,0.4196906399924948,0.5058863101244534,0.8688903364288845,0.8940397350993378,-0.0024296373496357493
ridge,GM,1731,0.02099863280021789,,,0.5102159953298308,0.48654643863530944,0.5338398334587499,0.41137683859359786,0.5125510799766492,0.8467325884211079,0.8989023685730791,0.00029164063228548365
ridge,GOOG,3020,0.008234464594038772,,,0.5147399801258695,0.49690444287968616,0.5325380525524265,0.10923118306662273,0.5110963895329579,0.7022518032322178,0.883774834437086,-0.001779787335261629
ridge,JPM,3020,0.04168734710383997,,,0.5109853528628495,0.4931066982602966,0.5288359465917462,0.23563999052200432,0.5096537949400799,0.898357000645146,0.8864238410596027,0.003083483076436022
ridge,MA,2861,0.006534494953474704,,,0.5332866152768044,0.5149506044401765,0.5515331362961889,0.00040163968408933674,0.5402943237561317,0.45261530050857424,0.8916462775253408,0.003976302982598878
ridge,PFE,3020,0.02717696833060074,,,0.5008414675193538,0.48287263740804254,0.5188081243508358,0.9415011997828553,0.49949511948838776,0.8833357736546924,0.8966887417218543,0.0011274551732045612
ridge,RRC,3020,0.04071313563258457,,,0.5004998333888704,0.4826213534936817,0.5183770352400208,0.9708775072312447,0.4948350549816728,0.5348827295663809,0.8728476821192053,0.001203394106204514
ridge,SBUX,3020,0.046996487882674756,,,0.5085028342780927,0.49061073678258094,0.5263731760551793,0.36123261223793135,0.5021673891297099,0.49927353308451017,0.895364238410596,0.0011550715908811293
ridge,SHLD,3020,-0.019841422945704488,,,0.48467688207861426,0.4668299752192409,0.5025629561980367,0.09672295796727585,0.480346435709527,0.6349166502892785,0.8519867549668875,-0.003925717408565177
ridge,T,3020,0.015040463092251224,,,0.5250083920778785,0.5070549556583013,0.5428974119095911,0.006686093474484186,0.5263511245384357,0.8833284956879512,0.9019867549668874,0.000675398957990514
