model,test_year,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
ridge,2010,4284,0.03896993682694992,0.017123277681758545,1.003937234362704,0.5196609371320933,0.5046237579521754,0.5346625800755697,0.010849866267052543,0.517541794207676,0.7940801031150928,0.7401960784313726,0.0019525410264173981
ridge,2011,4506,0.04370045398213108,0.013780602931236821,0.772852453631036,0.5157824042981867,0.501119600928067,0.5304180853992679,0.03618665246344479,0.5108573987015894,0.519890493461559,0.7336884154460719,0.003780216197060704
ridge,2012,4595,0.010334615094607747,-0.025898653994330053,-1.3466354699024765,0.513287942016253,0.4987642870085326,0.5277891924891968,0.07532463131625981,0.5099934109378432,0.6672957459550561,0.9710554951033732,0.0004936927714582762
ridge,2013,4788,0.018515168778004104,0.013646204971916584,0.7642590138087216,0.5270042194092827,0.5127745400374086,0.5411901623253346,0.00021167551812390815,0.5286919831223629,0.8159516681654537,0.8137009189640768,0.0031182547611374734
ridge,2014,4800,0.01738756808331896,0.022565549436375024,1.24612451241579,0.5125659978880676,0.4983242384774276,0.526787383738432,0.08636497485100472,0.5167898627243929,0.5608610810203057,0.9670833333333333,-0.0005038842952485023
ridge,2015,5040,0.050689517712124314,0.005268266741256497,0.30750286371734015,0.5001003009027081,0.4862254403489305,0.5139750069853763,1.0,0.4990972918756269,0.8873819659865783,0.9704365079365079,-0.0006352853867090946
ridge,2016,5040,0.006910590463391007,0.005785468826592832,0.34882261814557664,0.510497900419916,0.4966403060770811,0.5243393788743868,0.14138213050279838,0.5198960207958409,0.1834623369000272,0.8273809523809523,0.00011459593771157017
ridge,2017,5020,0.02568361346594347,0.0197217418451762,1.1304118269831662,0.5281350482315113,0.51424801452818,0.5419786734853504,7.617350491823899e-05,0.5255225080385852,0.7226926861215898,0.9778884462151395,0.00014406177744419324
ridge,ALL,55002,0.017058390137382494,0.011544125736096663,2.218349773974255,0.5112525448909594,0.5070559125663621,0.5154475915978756,1.5143281860990245e-07,0.5104455164065222,0.7093895114615612,0.883386058688775,-1.4104829961114618e-05
lgbm,2006,4077,-0.005461336183563717,0.012380857514449402,0.6541858550575812,0.4985170538803757,0.4831190127459482,0.5139179084017826,0.8627062237626555,0.4982698961937716,0.9749200911916335,0.9683590875643856,0.0020615166028974397
lgbm,2007,4267,0.02009484973013027,0.04041360258003891,2.4521160220187754,0.5037789324515825,0.48872187388754246,0.5188291398171699,0.6337832592227631,0.5092111478507322,0.47958397968167765,0.9043824701195219,0.0005614303619417838
lgbm,2008,4301,-0.031136460219993174,-0.02899985209377433,-1.7469148142573314,0.4849334267694464,0.4699824556247079,0.4999114139643103,0.05041613950419874,0.46975005839757067,0.04823152199905541,0.7147175075563822,-0.010736095399715317
lgbm,2009,4284,0.042346342236332525,0.02994878777097611,1.5730403363067946,0.5169172932330827,0.5018954873597258,0.531908586481893,0.028369652379895693,0.5143327067669173,0.7474338870240191,0.98062558356676,0.00239060473062902
lgbm,2010,4284,0.021425047119615726,-0.007113155702761805,-0.4019445270001658,0.5253119849305392,0.5102773397823699,0.540300879834188,0.0010219966285588233,0.517541794207676,0.3182692056015046,0.861577964519141,-0.0007264161726321383
lgbm,2011,4506,0.03718069645822818,0.010494711894358816,0.6379166662758143,0.5106335348108351,0.49597117068724383,0.525277625065216,0.15958717524557775,0.5108573987015894,0.9761249081662643,0.6990679094540613,0.005093767860944287
lgbm,2012,4595,0.02662836538034541,0.01244236539863546,0.7601102348681824,0.5110915879639798,0.4965682306976245,0.525596243924447,0.13832896315689933,0.5099934109378432,0.8938729643163866,0.7680087051142547,-0.0014331746428932757
lgbm,2013,4788,0.004523068328849106,0.06207684946751805,0.7892317864127844,0.5286919831223629,0.5144636140030752,0.5428738822573396,8.242723409885707e-05,0.5286919831223629,1.0,1.0,0.0036801654973864784
lgbm,2014,4800,-0.0064801925011390565,-0.015247428028692217,-0.9416156533812909,0.5129883843717001,0.4987465897226258,0.5272091206349435,0.07622364143211896,0.5167898627243929,0.6006916300536407,0.9129166666666667,4.976685753022014e-05
lgbm,2015,5040,0.036245381012747505,,,0.4990972918756269,0.48522322599366974,0.5129727479975671,0.9097885130899473,0.4990972918756269,1.0,1.0,-0.0005580513865661718
lgbm,2016,5040,-0.020327425407779903,-0.022246604982561403,-1.3072307751853076,0.501499700059988,0.4876460235239075,0.5153510743263021,0.8430709359432889,0.5198960207958409,0.00959621102869552,0.8097222222222222,-0.0035507298777344154
lgbm,2017,5020,-0.012558165510214377,-0.010358976194274849,-0.6007166002852785,0.5277331189710611,0.5138457711542762,0.541577678459061,9.643819752344186e-05,0.5255225080385852,0.7656388852770273,0.9838645418326694,-0.0003050678145912755
lgbm,ALL,55002,0.0012462698637913149,0.0023829236227382233,0.4372606577754686,0.5102987839548064,0.5061020462672426,0.5144940704209716,1.5447597483414169e-06,0.5104455164065222,0.9453577533341002,0.8850950874513654,-0.0018026017917303072
lstm,2006,4077,-0.018641475217921043,-0.011323579635309612,-0.6140395499325703,0.4817103311913,0.46633846123037537,0.49711689959163796,0.020820132723522962,0.4982698961937716,0.03515662709000876,0.9251900907530046,-0.0018940699163705332
lstm,2007,4267,-0.005339390494113641,0.009038287206976836,0.5231361453544604,0.504959848842702,0.48990203021823364,0.5200086752692014,0.5286350510992381,0.5092111478507322,0.5800714537585624,0.9599250058589173,-0.0009994018404528848
lstm,2008,4301,0.020131788458971275,-0.0021414740558796906,-0.11649207533729936,0.47699135715954216,0.4620565597567887,0.4919674116310917,0.0027349011492133514,0.46975005839757067,0.34250752910504234,0.9486166007905138,-0.004151434338450777
lstm,2009,4284,-0.01083518740665595,0.00689979111844939,0.33881787610389275,0.4978853383458647,0.482872240776939,0.5129022499928586,0.7944168297849201,0.5143327067669173,0.03303289422350499,0.8793183940242764,0.0015765964949069344
lstm,2010,4284,-0.031979700806366376,0.0006523653620354453,0.038259003969258285,0.4859901106663527,0.47097764248708734,0.5010279010739808,0.07017839524963781,0.517541794207676,4.116793998372927e-05,0.7205882352941176,-0.002124789688438433
lstm,2011,4506,0.007312617133531457,0.014585111993165409,0.7813064467765002,0.5005596597268861,0.4859026488036763,0.5152157088675059,0.9522773214361457,0.5108573987015894,0.1686026938935342,0.7050599201065246,-0.0012018418097081707
lstm,2012,4595,0.012732285937604225,-0.004090272654838666,-0.22367550750941528,0.5130683066110256,0.49854466877044984,0.5275699102397136,0.08031905194929678,0.5099934109378432,0.6889970430870043,0.857671381936888,-1.9516531350793898e-05
lstm,2013,4788,-0.02529109751409521,0.004489894609466861,0.29293297367499677,0.5265822784810127,0.5123522969717795,0.540769206916546,0.0002658168111153073,0.5286919831223629,0.7710942591847383,0.8590225563909775,0.001757221184399138
lstm,2014,4800,0.012382179313403505,0.004992975830872746,0.30042242649336043,0.5091869060190074,0.49494579425498086,0.5234131228272023,0.21137026789206964,0.5167898627243929,0.2951800618059072,0.9191666666666667,-0.0011089230716676557
lstm,2015,5040,0.0008418205849019751,0.009903599880070465,0.6373842895346973,0.5037111334002006,0.48983387397968775,0.5175826773896721,0.6101383577964543,0.4990972918756269,0.5147586873583629,0.8478174603174603,-0.0014510836302445984
lstm,2016,5040,-0.0019613110395681334,-0.01591193801339625,-0.973609758858911,0.5032993401319736,0.4894445213305025,0.5171490939399589,0.6509109146731724,0.5198960207958409,0.01953078136178993,0.691468253968254,0.00010269739367263497
lstm,2017,5020,-0.0050047175485499525,-0.010452412257390969,-0.6079203895322696,0.5106511254019293,0.49675874187153257,0.5245270757335897,0.1366108491964592,0.5255225080385852,0.03691170790041719,0.7215139442231076,-0.0023324009228820053
lstm,ALL,55002,-0.008058463954986743,0.0005604797419746545,0.11081335227659696,0.5018249848682159,0.49762798184436574,0.5060217307299483,0.39645184073779544,0.5104455164065222,5.760070831561428e-05,0.833151521762845,-0.0012616012963759804
