model,ticker,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
mom20,JPM,2766,-0.036202297401281204,,,0.49509981851179674,0.47644963959036196,0.5137636441298776,0.6203607628513691,0.5245009074410163,0.002127495214559438,0.56941431670282,-2752.0405546261286
mom20,KO,2766,-0.03365805070546803,,,0.4863188617292959,0.4676395846503703,0.5050364342499554,0.15751396229705278,0.52681503101058,2.342888020616959e-05,0.5133767172812725,-2868.123581405387
mom20,MCD,2766,0.0008363713313599146,,,0.5150525933986216,0.49638895265052096,0.5336743439906191,0.11834448529213734,0.5324628219078709,0.06979636449569716,0.5430224150397687,-2665.7751692468873
mom20,MMM,2766,-0.01458911255700784,,,0.485859318346628,0.46723867518821377,0.5045192996355415,0.14257958945812663,0.5213923132704859,0.00020085535452014707,0.5079537237888648,-2973.012347234301
mom20,MRK,2766,-0.02992731830308564,,,0.4923413566739606,0.4736522503884951,0.5110518927783939,0.433644840104765,0.5160466812545588,0.013694838991191647,0.5050614605929139,-2663.0628111010965
mom20,MSFT,2766,-0.04771072332866892,,,0.4940021810250818,0.47534044878656573,0.5126806410648435,0.5417998542208453,0.5379861868411486,4.010479379392519e-06,0.591467823571945,-2236.6319504649155
mom20,NVDA,2766,-0.01206137576460568,,,0.5074248460702644,0.4887789405672323,0.5260501187177553,0.44651407749891425,0.545816733067729,5.4762993152481046e-05,0.6402747650036154,-3190.009663224523
mom20,ORCL,2766,-0.006011375302720614,,,0.4981791697013838,0.47949343221270996,0.5168699946843158,0.8636394544933909,0.5375091041514931,3.8486919375064615e-05,0.5155459146782357,-2763.016317964327
mom20,PEP,2766,-0.04310791484930516,,,0.4901889534883721,0.47153816935379905,0.508867090513096,0.3123498340420376,0.5247093023255814,0.0003079892915969185,0.5083152566883586,-2387.4065058252386
mom20,PFE,2766,-0.003358851298301463,,,0.49615525448553643,0.47742162262449583,0.5148996876846643,0.7019426292930172,0.4972537532039546,0.9237779802784101,0.46023138105567607,-3247.0501023185534
mom20,PG,2766,-0.013146722554680105,,,0.5010893246187363,0.4824265719901531,0.5197490424468763,0.9240970877055751,0.528322440087146,0.004449113697556671,0.4920462762111352,-2469.892483738839
mom20,T,2766,-0.0039219921574254225,,,0.5014630577907827,0.48273176899122444,0.5201902408138716,0.8935047604088213,0.5267008046817849,0.008681823488087517,0.4956616052060738,-2843.7712891037304
mom20,UNH,2766,-0.04847697896470854,,,0.48279608837377763,0.46419337149932727,0.5014466130842381,0.0736060871784229,0.5269829771821803,3.584629023001918e-06,0.5621836587129428,-2702.9947821289325
mom20,VZ,2766,-0.023183581866614907,,,0.4930555555555556,0.4743446170625458,0.5117859680048538,0.47934626493230814,0.5120614035087719,0.0488500672534808,0.44396240057845265,-2792.5804589698428
mom20,WFC,2766,-0.002050620339635322,,,0.4976372228280625,0.478969288202752,0.5163117471932576,0.8190376925180212,0.5110868774990912,0.15824319606205856,0.5126536514822849,-3027.781962544282
mom20,WMT,2766,-0.011592875436368439,,,0.5023542194856936,0.48371351347250824,0.5209883833739511,0.8193600161439667,0.5335023542194857,0.0011039220923749,0.5303687635574837,-2760.691878130553
mom20,XOM,2766,0.01641937843589588,,,0.5041712005803409,0.48551490685898724,0.522815886186148,0.6752306251357325,0.5107000362713094,0.49293563052208467,0.4953000723065799,-3120.868688035178
ridge,AAPL,2766,0.046666648024751,,,0.5221014492753623,0.5034479116043564,0.5406935471536274,0.021250998140150162,0.532608695652174,0.2686448749695819,0.6876355748373102,0.008365471386189594
ridge,AMZN,2766,0.03842123133580978,,,0.5257060101375814,0.5070606432798059,0.5442799685614506,0.0072873537554036735,0.5347574221578566,0.34031798743744524,0.6854663774403471,0.003702304056639183
ridge,BA,2766,0.02683717138266801,,,0.5139442231075697,0.4952944462874832,0.5325552504184691,0.14805917164506005,0.5117710974284679,0.8341395173444298,0.7089660159074476,0.001424667519912548
ridge,BAC,2766,5.0404667709564127e-05,,,0.5043923865300146,0.4856507801692504,0.5231216575332832,0.659919406021733,0.5157393850658858,0.23539532456084447,0.680766449746927,0.0018843305901210528
ridge,CAT,2766,-0.003261876480289394,,,0.5050651230101303,0.4864315093509596,0.5236846764885771,0.6075646899486941,0.5227930535455861,0.06473525147285952,0.6869125090383225,0.0018879382954308799
ridge,CSCO,2766,0.00859970150054386,,,0.5067592254293022,0.48803239668273335,0.5254671065355483,0.49138325030704233,0.5301424917793204,0.015002131165616273,0.720535068691251,0.004747080628104472
ridge,CVX,2766,0.04111282396246149,,,0.528452337803552,0.5097985593401524,0.5470269930186944,0.002971705587662194,0.5226531351939109,0.5546699449664847,0.7241503976861895,0.006092601128322661
ridge,DIS,2766,-0.017172625866491313,,,0.5077983315197678,0.4891386081450813,0.5264363527653888,0.42377890221153286,0.5030830612985129,0.6339863132067677,0.7339117859725235,-0.0011446362127323084
ridge,GE,2766,-0.015003210972746827,,,0.5075009147457007,0.4887597537340141,0.5262210182624363,0.4441947162217197,0.5118916941090377,0.6461467447007778,0.7042660882140275,-0.0017838208579132875
