model,test_year,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
mom20,2021,7812,-0.02794490447662178,-0.008619751664106506,-0.4173882808140045,0.49530908623570236,0.4842047767763088,0.5064180253626585,0.4143678680303306,0.5309086235702352,3.310033791205949e-10,0.5423707117255504,
mom20,2022,7781,0.013668972964957261,0.005438566582458347,0.2567334763097694,0.5105066391646255,0.4993796197535601,0.5216232570478424,0.06585447112252775,0.495681320097976,0.00931289407932247,0.4247526024932528,
mom20,2023,7750,-0.0071726634742521325,-0.005113697725169785,-0.2846461516542862,0.5040155440414508,0.49286301974256896,0.5151640739254317,0.4875225674497418,0.5261658031088083,0.00010152156707661558,0.5068387096774194,
mom20,2024,7812,-0.011309331351252977,0.0035578160049074513,0.22535451961275968,0.5001928268414964,0.4890841925721009,0.5113012707527599,0.9819088446411327,0.5329733898958735,7.229391046983428e-09,0.5632360471070148,
mom20,2025,7750,-0.01841613261318397,-0.01655,-0.9511488102250311,0.4887334887334887,0.47759247723302817,0.4998857045614316,0.048979664294289654,0.5299145299145299,4.397548513798024e-13,0.5310967741935484,
mom20,ALL,85746,-0.010660451995560986,-0.0007191190471117344,-0.13220741047452014,0.4985582333083271,0.49520316762298355,0.5019134288333539,0.40157886766704104,0.523326144036009,1.7806508829661964e-47,0.5263569146082616,
ridge,2015,7812,0.06143607313604067,0.03612788521159723,2.4401402088809316,0.5166237113402062,0.5054995073699804,0.5277314642665354,0.003526487162387818,0.4954896907216495,0.00020502996759704363,0.7808499743983615,-0.0011102447076496436
ridge,2016,7812,0.035571590097459034,0.0016902328742747976,0.09540025842514091,0.5209380234505863,0.5098160071865169,0.5320393218391261,0.00023481345122881194,0.5317613709573509,0.0574938241984435,0.7644649257552484,0.0035945657406785125
ridge,2017,7781,0.009124464830830507,-0.022920814229195372,-1.419955714243529,0.5249449267850201,0.5137933441199544,0.536071686137887,1.2304647639065308e-05,0.5360891538162499,0.05097044045724729,0.848605577689243,0.003332875422978443
ridge,2018,7781,-0.018612556720434024,-0.010935467385230633,-0.6490285311571944,0.4955374466433838,0.4843971519581039,0.5066821740878231,0.4393014663025721,0.519208381839348,3.252869444616032e-05,0.7127618558025961,-0.0016816971910527112
ridge,2019,7812,0.009182548805778195,0.005160246049465767,0.31785776228307994,0.5277241734208157,0.5166147419153923,0.5388062145819087,1.0693209523396912e-06,0.549337450147948,0.00013406410422408713,0.78584229390681,0.003438045576476534
ridge,2020,7843,0.13139194474196297,0.017403857889587482,0.8238072384248329,0.5442324926385866,0.5331684185537818,0.5552530793304492,5.619111163750089e-15,0.5091537575214441,5.512067713772804e-10,0.517659059033533,0.018305399480578632
ridge,2021,7812,-0.0012150189069547262,-0.004987519201228877,-0.24935816099746833,0.5088034956946408,0.49769375945845723,0.519904543376632,0.12312257796276088,0.5309086235702352,9.760150529913928e-05,0.7674091141833077,0.0028722441289815714
ridge,2022,7781,-0.017693292346502763,-0.01153049847096922,-0.5588100293199404,0.49477890937217994,0.48365782630024273,0.5059051613015142,0.36370542576682646,0.495681320097976,0.8826526251275726,0.6587842179668423,-0.010389099913243216
ridge,2023,7750,-0.04066890188871354,0.0022662270894892645,0.15653013715659236,0.49468911917098446,0.483541502850026,0.5058420184277798,0.35658976507127993,0.5261658031088083,3.2172294453024176e-08,0.6931612903225807,-0.005128927925552196
ridge,2024,7812,-0.025544900191722425,0.004743578197060455,0.32123739345227736,0.5052063247204011,0.49409581690077703,0.5163116928704611,0.36438472167411246,0.5329733898958735,9.657014432518108e-07,0.6545058883768561,-0.0052459712941843595
ridge,2025,7750,0.012279879404719236,-0.01060645161290323,-0.6606904426212722,0.5141155141155141,0.5029634938820445,0.5252534967432875,0.013528115350494285,0.5299145299145299,0.005597787018011245,0.652258064516129,-0.00158577701519369
ridge,ALL,85746,0.013843002983424411,0.000612839024885258,0.11714335768646247,0.5134447674418605,0.5100902306263839,0.5167980934759011,4.1274828196141295e-15,0.523326144036009,7.6776066680394e-09,0.7123480978704546,0.00292595235344395
lgbm,2015,7812,0.04479926899725867,-0.06860568195645916,-1.686700322509484,0.4954896907216495,0.48437025049669674,0.5066135944081247,0.43346335189950985,0.4954896907216495,1.0,0.9997439836149513,-0.0003352293362177683
lgbm,2016,7812,0.011742721217042012,0.015229651925865197,0.9647517839929514,0.5317613709573509,0.520646698969969,0.5428446155212372,2.31564282177845e-08,0.5317613709573509,1.0,0.9320276497695853,0.003170601235331527
lgbm,2017,7781,0.01770191309201581,0.20412414523193156,4.629100498862758,0.5360891538162499,0.5249472200291716,0.5471951743958092,2.4216091623913487e-10,0.5360891538162499,1.0,1.0,0.004646165892199239
lgbm,2018,7781,-0.013144513926969685,-0.009491867040724843,-0.5787490201875194,0.512740913206571,0.5015952471000124,0.523873923464515,0.02579794331574856,0.519208381839348,0.25508205971596676,0.7698239300861072,-0.0022833898753913395
lgbm,2019,7812,0.048308392715079154,-9.139617308419576e-05,-0.005171597234370548,0.5475363437540203,0.5364503499188703,0.5585753736345064,5.43292082279258e-17,0.549337450147948,0.7496314746440328,0.9874551971326165,0.005183365636596382
lgbm,2020,7843,0.0013699568334827163,-0.0009531290406980717,-0.050948465938929384,0.5010882089361157,0.490001927126861,0.5121734208673964,0.8563402232731706,0.5091537575214441,0.15391781400250676,0.5912278464873135,-0.015025670406569658
lgbm,2021,7812,0.028163690369554965,0.07336570665662602,2.7856117096451336,0.5193419868911451,0.5082336389119839,0.5304312454191242,0.0006705123618808097,0.5309086235702352,0.04203170889353107,0.9325396825396826,0.0033430623759748146
